Date,Stock,avg_sentiment,article_count,Daily_Return,sentiment_class
2020-03-24,GOOG,0.28176,5,7.366906921038141,Positive
2020-03-24,MET,0.891,1,17.339567659182276,Positive
2020-03-24,NVDA,0.22162,10,17.15643351852303,Positive
2020-03-25,GOOG,0.0409,4,-2.8180946537586182,Neutral
2020-03-25,MET,0.6705,1,7.7145872308494345,Positive
2020-03-25,NVDA,0.4088,2,-1.428704699986616,Positive
2020-03-26,MET,0.6486,1,9.381290918993468,Positive
2020-03-26,NVDA,0.6705,1,4.7309223960896984,Positive
2020-03-27,GOOG,0.2164,6,-4.393366691182288,Positive
2020-03-27,MET,0.8271,1,-5.102966263446207,Positive
2020-03-27,NVDA,0.25,1,-1.7532529499154181,Positive
2020-03-30,GOOG,-0.042666666666666665,3,3.2510745165999833,Neutral
2020-03-30,NVDA,0.296,1,5.0884261791798835,Positive
2020-03-31,GOOG,-0.21669999999999998,2,1.3942871231956477,Negative
2020-03-31,NVDA,0.40569999999999995,3,-0.7492620860003241,Positive
2020-04-01,GOOG,0.0,3,-4.918260300787081,Neutral
2020-04-01,MET,-0.4312,2,-8.734026228140912,Negative
2020-04-01,NVDA,-0.21075,2,-7.788312232461736,Negative
2020-04-02,GOOG,-0.11790000000000002,4,1.3766094116036243,Negative
2020-04-03,GOOG,-0.10525000000000004,2,-2.0484654780953737,Negative
2020-04-03,MET,-0.128,1,-1.1764631646208223,Negative
2020-04-03,NVDA,-0.25365,2,-4.525001545907836,Negative
2020-04-06,GOOG,0.7681,2,8.110171735309436,Positive
2020-04-06,MET,0.7579,1,10.497818112772595,Positive
2020-04-06,NVDA,0.7579,1,10.04059989492827,Positive
2020-04-07,GOOG,0.20095,2,-0.034535466543761384,Positive
2020-04-07,NVDA,0.29295,2,-3.4910635223171504,Positive
2020-04-08,GOOG,-0.006571428571428561,7,2.0033341577426755,Neutral
2020-04-08,MET,0.8591,1,5.984817656568664,Positive
2020-04-08,NVDA,0.836,1,3.0575508190962664,Positive
2020-04-09,GOOG,-0.03423333333333333,3,0.0966874521702854,Neutral
2020-04-09,MET,0.8807,1,5.945621128927292,Positive
2020-04-09,NVDA,0.0,1,-1.4983927142596332,Neutral
2020-04-13,GOOG,0.0482,5,0.504342510223843,Neutral
2020-04-13,MET,-0.6705,1,-3.214907208575668,Negative
2020-04-14,GOOG,0.3245,3,4.24373929446662,Positive
2020-04-14,NVDA,0.9552,1,5.225095900986765,Positive
2020-04-15,GOOG,0.33262,5,-0.532605455977242,Positive
2020-04-15,MET,-0.3182,1,-5.692693022980855,Negative
2020-04-15,NVDA,-0.1591,2,-1.0952581813424511,Negative
2020-04-16,GOOG,0.14546666666666666,3,0.07921305325833128,Positive
2020-04-16,NVDA,0.28426,5,4.9351864055190875,Positive
2020-04-17,GOOG,-0.128,1,1.5655284097481292,Negative
2020-04-17,MET,0.8126,1,6.817444391235994,Positive
2020-04-17,NVDA,0.0,1,-0.8075996351757153,Neutral
2020-04-20,GOOG,0.09106666666666667,3,-1.296702979209352,Positive
2020-04-20,MET,-0.2732,1,-1.5426489031382107,Negative
2020-04-20,NVDA,0.2023,1,-1.8027948144028638,Positive
2020-04-21,GOOG,-0.41125,2,-3.9688587547510146,Negative
2020-04-21,NVDA,-0.41125,2,-6.110455047000807,Negative
2020-04-22,GOOG,0.19775,6,3.853357515141509,Positive
2020-04-22,NVDA,0.5719,1,6.174182409821749,Positive
2020-04-23,GOOG,0.021949999999999997,4,1.037033744318716,Neutral
2020-04-23,NVDA,0.2886,3,-0.7478497929925942,Positive
2020-04-24,GOOG,-0.22593333333333332,3,0.23505623733435232,Negative
2020-04-24,NVDA,0.0,1,1.964691300358834,Neutral
2020-04-27,AMZN,0.12831666666666666,6,-1.419786171076065,Positive
2020-04-27,GOOG,0.1775,5,-0.268115681045511,Positive
2020-04-27,MET,0.2732,1,3.3633730747897106,Positive
2020-04-27,NVDA,0.13194,5,2.58640856867145,Positive
2020-04-28,AMZN,-0.006618749999999996,16,-2.606061104255919,Neutral
2020-04-28,GOOG,0.08339285714285714,14,-3.3083007300581446,Positive
2020-04-28,MET,0.28595,2,2.2080102629231213,Positive
2020-04-28,NVDA,-0.3612,1,-1.9253850296315322,Negative
2020-04-29,AMZN,0.11759333333333334,15,2.533616474965794,Positive
2020-04-29,GOOG,0.21639,20,8.738963752111673,Positive
2020-04-29,MET,0.8625,1,6.537796941640628,Positive
2020-04-29,NVDA,0.04590000000000005,2,2.436843277505907,Neutral
2020-04-30,AMZN,0.19513333333333335,27,4.268957423996422,Positive
2020-04-30,GOOG,0.2202,2,0.5352449382351798,Positive
2020-04-30,NVDA,0.0,1,-2.07061275681768,Neutral
2020-05-01,AMZN,0.09047560975609757,41,-7.597409237648933,Positive
2020-05-01,GOOG,0.1901,2,-2.079869906324061,Positive
2020-05-01,MET,-0.6369,1,-3.8803013051923574,Negative
2020-05-01,NVDA,-0.6369,1,-3.2503245371721556,Negative
2020-05-04,AMZN,-0.0032777777777777744,9,1.3101236487597978,Neutral
2020-05-04,GOOG,-0.062116666666666674,6,0.4687409718610924,Negative
2020-05-04,NVDA,0.5574,2,3.0093891391837824,Positive
2020-05-05,AMZN,0.08325,8,0.07815221854263754,Positive
2020-05-05,GOOG,0.2305,5,1.832208438508398,Positive
2020-05-06,AMZN,0.20104444444444444,9,1.4436139090531874,Positive
2020-05-06,GOOG,-0.148,2,-0.2819688952920063,Negative
2020-05-06,MET,-0.05103333333333334,3,-3.7934065402351558,Negative
